id,category
0,math
1,math
2,math
3,math
4,cs
5,math
6,math
7,cs
8,physics
9,cs
10,math
11,stat
12,cs
13,cs
14,cs
15,math
16,cs
17,math
18,cs
19,stat
20,cs
21,math
22,math
23,math
24,cs
25,physics
26,math
27,math
28,stat
29,cs
30,cs
31,stat
32,cs
33,physics
34,math
35,math
36,stat
37,cs
38,cs
39,math
40,physics
41,stat
42,physics
43,math
44,math
45,physics
46,math
47,cs
48,stat
49,physics
50,cs
51,cs
52,physics
53,cs
54,physics
55,math
56,math
57,stat
58,math
59,cs
60,cs
61,stat
62,cs
63,math
64,physics
65,cs
66,stat
67,math
68,cs
69,cs
70,cs
71,physics
72,stat
73,stat
74,stat
75,cs
76,cs
77,physics
78,physics
79,physics
80,math
81,cs
82,physics
83,cs
84,physics
85,cs
86,cs
87,physics
88,physics
89,physics
90,stat
91,math
92,math
93,cs
94,math
95,stat
96,physics
97,cs
98,stat
99,math
100,math
101,physics
102,cs
103,cs
104,math
105,stat
106,math
107,stat
108,cs
109,cs
110,cs
111,math
112,physics
113,math
114,math
115,cs
116,physics
117,cs
118,math
119,math
120,cs
121,physics
122,stat
123,stat
124,physics
125,cs
126,physics
127,stat
128,physics
129,physics
130,math
131,stat
132,math
133,math
134,cs
135,physics
136,cs
137,cs
138,stat
139,stat
140,physics
141,cs
142,cs
143,math
144,cs
145,cs
146,physics
147,physics
148,stat
149,physics
150,physics
151,physics
152,math
153,cs
154,math
155,math
156,physics
157,stat
158,stat
159,math
160,math
161,stat
162,stat
163,math
164,cs
165,stat
166,physics
167,physics
168,stat
169,cs
170,math
171,math
172,stat
173,math
174,math
175,cs
176,math
177,physics
178,cs
179,cs
180,math
181,math
182,physics
183,stat
184,physics
185,physics
186,physics
187,math
188,math
189,stat
190,cs
191,cs
192,physics
193,stat
194,cs
195,math
196,stat
197,math
198,stat
199,math
200,stat
201,math
202,cs
203,math
204,stat
205,math
206,cs
207,math
208,cs
209,math
210,math
211,cs
212,math
213,cs
214,math
215,math
216,physics
217,cs
218,physics
219,cs
220,cs
221,math
222,physics
223,math
224,cs
225,math
226,math
227,math
228,math
229,physics
230,cs
231,math
232,cs
233,math
234,stat
