id,category,category,category,category,category
0,math,math,math,math,math
1,math,math,math,math,math
2,math,math,math,math,math
3,math,math,math,math,math
4,math,cs,cs,cs,cs
5,math,math,math,math,math
6,math,math,math,math,math
7,math,cs,math,math,cs
8,physics,physics,physics,physics,physics
9,cs,cs,cs,cs,cs
10,math,math,math,math,math
11,stat,stat,stat,stat,stat
12,cs,cs,cs,cs,cs
13,cs,cs,cs,cs,cs
14,cs,cs,cs,cs,cs
15,math,math,math,math,math
16,cs,cs,math,cs,cs
17,math,math,math,math,math
18,cs,cs,cs,cs,cs
19,stat,stat,stat,stat,stat
20,cs,cs,cs,cs,cs
21,math,math,math,math,math
22,math,math,math,math,math
23,math,cs,math,math,math
24,cs,cs,cs,cs,cs
25,physics,physics,physics,physics,physics
26,math,math,math,math,math
27,math,math,math,math,math
28,stat,cs,cs,cs,stat
29,cs,cs,cs,cs,cs
30,math,cs,cs,cs,cs
31,stat,stat,stat,stat,stat
32,cs,cs,cs,math,cs
33,physics,physics,physics,physics,physics
34,math,math,math,math,math
35,math,math,math,math,math
36,stat,stat,stat,stat,stat
37,cs,cs,cs,cs,cs
38,cs,cs,cs,cs,cs
39,math,math,math,math,math
40,physics,physics,physics,physics,physics
41,stat,stat,stat,stat,stat
42,physics,physics,physics,physics,physics
43,math,math,math,math,math
44,math,math,math,math,math
45,physics,physics,physics,physics,physics
46,math,math,math,math,math
47,cs,cs,cs,cs,cs
48,stat,stat,stat,stat,stat
49,physics,physics,physics,physics,physics
50,cs,cs,cs,stat,cs
51,cs,cs,cs,cs,cs
52,physics,physics,physics,physics,physics
53,cs,cs,cs,cs,cs
54,physics,physics,physics,physics,physics
55,math,math,math,math,math
56,math,math,math,physics,math
57,stat,stat,stat,math,stat
58,math,math,math,math,math
59,cs,cs,cs,cs,cs
60,cs,cs,cs,cs,cs
61,cs,cs,stat,stat,stat
62,cs,cs,cs,cs,cs
63,math,math,math,math,math
64,physics,physics,physics,physics,physics
65,cs,cs,stat,cs,cs
66,stat,stat,stat,stat,stat
67,math,math,math,math,math
68,stat,cs,stat,math,cs
69,cs,cs,cs,cs,cs
70,cs,cs,cs,cs,cs
71,physics,physics,physics,cs,physics
72,stat,stat,stat,stat,stat
73,stat,cs,stat,cs,stat
74,stat,stat,stat,stat,stat
75,cs,cs,cs,cs,cs
76,cs,cs,cs,cs,cs
77,physics,physics,physics,physics,physics
78,physics,physics,physics,physics,physics
79,physics,physics,physics,physics,physics
80,math,math,math,math,math
81,cs,cs,cs,cs,cs
82,physics,physics,physics,physics,physics
83,cs,cs,cs,cs,cs
84,physics,physics,physics,physics,physics
85,cs,cs,cs,cs,cs
86,cs,cs,cs,cs,cs
87,physics,physics,physics,physics,physics
88,physics,physics,physics,physics,physics
89,cs,physics,physics,physics,physics
90,stat,stat,stat,stat,stat
91,math,math,math,math,math
92,math,math,math,math,math
93,cs,cs,stat,stat,cs
94,math,math,math,math,math
95,stat,cs,stat,cs,stat
96,physics,physics,physics,physics,physics
97,cs,cs,math,math,cs
98,stat,stat,stat,stat,stat
99,math,math,math,math,math
100,math,math,math,math,math
101,physics,physics,physics,physics,physics
102,stat,cs,cs,cs,cs
103,cs,cs,math,cs,cs
104,math,math,math,math,math
105,stat,stat,stat,cs,stat
106,math,math,math,math,math
107,stat,stat,stat,stat,stat
108,cs,cs,cs,cs,cs
109,cs,cs,cs,cs,cs
110,cs,math,math,math,cs
111,math,math,math,math,math
112,physics,physics,physics,physics,physics
113,math,math,math,math,math
114,math,math,math,math,math
115,cs,cs,stat,cs,cs
116,physics,physics,physics,physics,physics
117,cs,cs,cs,cs,cs
118,cs,math,math,cs,math
119,math,math,math,cs,math
120,math,cs,math,cs,cs
121,physics,physics,physics,physics,physics
122,stat,stat,stat,stat,stat
123,stat,cs,stat,cs,stat
124,physics,physics,physics,physics,physics
125,cs,cs,stat,cs,cs
126,cs,physics,cs,cs,physics
127,cs,cs,stat,stat,stat
128,physics,physics,physics,physics,physics
129,physics,physics,cs,physics,physics
130,math,math,math,math,math
131,stat,stat,stat,stat,stat
132,math,math,math,math,math
133,math,cs,cs,cs,math
134,cs,cs,cs,cs,cs
135,physics,physics,physics,cs,physics
136,cs,cs,cs,cs,cs
137,cs,cs,cs,cs,cs
138,cs,stat,stat,stat,stat
139,stat,stat,stat,stat,stat
140,physics,physics,physics,physics,physics
141,cs,cs,cs,cs,cs
142,cs,math,math,cs,cs
143,math,math,math,math,math
144,cs,cs,cs,cs,cs
145,cs,cs,cs,cs,cs
146,physics,physics,math,physics,physics
147,physics,physics,physics,physics,physics
148,cs,cs,stat,cs,stat
149,physics,physics,physics,physics,physics
150,physics,physics,physics,physics,physics
151,physics,physics,physics,physics,physics
152,math,math,math,math,math
153,cs,cs,cs,cs,cs
154,math,math,math,math,math
155,math,math,math,math,math
156,physics,math,cs,physics,physics
157,stat,stat,stat,stat,stat
158,stat,stat,stat,stat,stat
159,math,math,math,math,math
160,math,math,math,math,math
161,stat,stat,stat,stat,stat
162,stat,stat,stat,stat,stat
163,math,math,math,math,math
164,cs,cs,cs,cs,cs
165,stat,stat,stat,stat,stat
166,physics,physics,physics,physics,physics
167,physics,physics,physics,physics,physics
168,stat,stat,stat,stat,stat
169,cs,cs,cs,cs,cs
170,math,math,math,math,math
171,math,math,math,math,math
172,stat,cs,stat,stat,stat
173,math,math,math,math,math
174,math,math,math,math,math
175,cs,cs,stat,cs,cs
176,math,math,math,math,math
177,physics,physics,physics,physics,physics
178,cs,physics,stat,cs,cs
179,cs,cs,cs,cs,cs
180,physics,math,physics,physics,math
181,math,math,math,math,math
182,physics,physics,stat,math,physics
183,stat,stat,stat,stat,stat
184,physics,physics,physics,physics,physics
185,physics,physics,physics,physics,physics
186,physics,physics,physics,physics,physics
187,math,math,math,math,math
188,math,math,math,math,math
189,stat,stat,stat,stat,stat
190,cs,cs,cs,cs,cs
191,cs,cs,cs,cs,cs
192,physics,physics,math,math,physics
193,stat,cs,stat,stat,stat
194,cs,cs,stat,cs,cs
195,math,math,math,math,math
196,stat,stat,stat,stat,stat
197,math,math,math,math,math
198,stat,stat,stat,stat,stat
199,math,math,math,math,math
200,stat,stat,stat,stat,stat
201,math,math,math,math,math
202,cs,cs,stat,cs,cs
203,math,math,math,math,math
204,stat,cs,stat,cs,stat
205,math,math,math,math,math
206,cs,cs,cs,cs,cs
207,math,math,math,math,math
208,cs,cs,cs,cs,cs
209,math,math,math,math,math
210,cs,math,math,math,math
211,cs,cs,cs,cs,cs
